Employee_ID,Department,Salary,Experience_Years,Performance_Score,Stability_Index,Projects_Completed
EMP-1000,Sales,109551,19,81,0.7856912440160773,34
EMP-1001,Sales,84978,10,66,0.5509663773882818,1
EMP-1002,Marketing,116371,10,70,0.9261731178093813,27
EMP-1003,R&D,165161,11,80,0.7890247409053837,38
EMP-1004,Sales,81781,7,89,0.7250555659686552,26
EMP-1005,Engineering,81781,18,94,0.464373892143819,20
EMP-1006,Engineering,168914,4,56,0.6592922154077268,58
EMP-1007,Engineering,122080,2,78,0.6670077972971172,31
EMP-1008,Engineering,74434,14,92,0.9014468935231486,30
EMP-1009,Engineering,111579,13,54,0.7170559677089173,20
EMP-1010,Engineering,195000,1,78,0.6206323184028376,21
EMP-1011,Engineering,74546,7,74,0.9665441905361825,35
EMP-1012,Engineering,98938,2,79,0.4642179441292631,22
EMP-1013,Operations,41779,13,65,0.6450780884209278,15
EMP-1014,Engineering,45048,14,57,0.4243743115994151,23
EMP-1015,Sales,71721,17,52,0.8291443900448197,11
EMP-1016,Marketing,59894,9,86,0.9324844002755074,1
EMP-1017,R&D,101840,17,88,0.5624216511392839,27
EMP-1018,Engineering,62458,8,78,0.8978381725434901,27
EMP-1019,Marketing,51049,2,68,0.5694865736679007,1
EMP-1020,R&D,161413,13,55,0.9282466937534708,43
EMP-1021,Operations,82055,3,81,0.8372979040861347,28
EMP-1022,Finance,92270,16,61,0.8668459305680344,1
EMP-1023,Engineering,50795,6,66,0.41044380224826366,5
EMP-1024,Engineering,72237,19,67,0.958430007102935,15
EMP-1025,HR,93885,7,72,0.8214691754007875,21
EMP-1026,Operations,56673,10,65,0.5767556353239573,8
EMP-1027,Sales,104374,9,75,0.8810489056181312,17
EMP-1028,Sales,70629,2,67,0.5632822950806594,35
EMP-1029,Engineering,79920,15,83,0.9061972269483543,19
EMP-1030,Finance,70599,5,87,0.4652966264389235,12
EMP-1031,Engineering,188410,4,76,0.8081378669272615,42
EMP-1032,Marketing,89327,4,80,0.713605116454048,28
EMP-1033,Marketing,58828,18,100,0.4559899927133557,17
EMP-1034,Sales,124801,4,60,0.5402984203901267,27
EMP-1035,Engineering,55112,17,60,0.4071943410408426,9
EMP-1036,Engineering,97636,12,83,0.6718854199694133,17
EMP-1037,Sales,41011,17,98,0.5747338512408002,7
EMP-1038,Engineering,52795,10,71,0.7470473408927001,18
EMP-1039,Sales,97169,1,95,0.572397928470998,14
EMP-1040,Engineering,120674,18,76,0.5739530846740512,33
EMP-1041,Sales,96183,18,66,0.8310520552643299,38
EMP-1042,Sales,85751,14,63,0.42792284486744503,25
EMP-1043,Engineering,79620,15,82,0.9236790972113526,17
EMP-1044,Marketing,49714,12,64,0.8943130471468852,1
EMP-1045,Engineering,67341,4,75,0.7873267162713158,34
EMP-1046,Engineering,74698,3,94,0.7440685106622829,8
EMP-1047,R&D,137079,12,71,0.9175354489209983,40
EMP-1048,Marketing,103044,7,90,0.5074915041266543,31
EMP-1049,Finance,44366,11,60,0.4458021140706806,11
EMP-1050,Engineering,42000,1,98,0.5389158985475321,22
EMP-1051,HR,76990,6,58,0.8608554016461103,2
EMP-1052,Finance,68507,15,75,0.42010875470136033,22
EMP-1053,Sales,114706,15,84,0.738027964348424,34
EMP-1054,Sales,135654,19,75,0.9773537593909597,21
EMP-1055,Marketing,130349,11,89,0.8963037344257728,29
EMP-1056,Marketing,64201,2,66,0.7024384996452819,18
EMP-1057,Operations,79362,14,77,0.43691172738625256,26
EMP-1058,Finance,102536,2,68,0.8821966383437116,25
EMP-1059,R&D,132678,4,79,0.7474075347427821,15
EMP-1060,Engineering,74146,17,81,0.4666611382945488,14
EMP-1061,HR,83383,3,81,0.4544372251975466,23
EMP-1062,Operations,57695,13,62,0.9275835552732236,24
EMP-1063,Engineering,55658,9,64,0.7881361525040855,9
EMP-1064,Engineering,124302,7,66,0.8809863436037182,51
EMP-1065,HR,154501,15,72,0.9098077621637151,16
EMP-1066,Sales,87261,11,76,0.7316279641880269,16
EMP-1067,Finance,134172,2,83,0.700118884017924,31
EMP-1068,Engineering,103789,15,64,0.6496478979861743,23
EMP-1069,Finance,69384,14,55,0.5838290209188493,6
EMP-1070,Engineering,103779,11,100,0.6520656572980528,30
EMP-1071,Engineering,166155,3,61,0.8488502003234907,41
EMP-1072,Engineering,88533,17,85,0.7491155899887763,23
EMP-1073,Finance,167933,12,75,0.9176635081738107,41
EMP-1074,HR,35000,15,78,0.657160408339929,7
EMP-1075,Sales,124769,16,74,0.7521119556568774,13
EMP-1076,Marketing,92993,5,70,0.7661583807933534,16
EMP-1077,Operations,79687,6,80,0.7431843541376688,22
EMP-1078,Marketing,93168,19,69,0.8075275883895995,25
EMP-1079,Finance,40555,5,88,0.5377114116573877,13
EMP-1080,Marketing,82256,3,81,0.6971709909765587,26
EMP-1081,Marketing,103601,1,82,0.46045038562884166,19
